Hello, world!
num: 010111011111   result: 0101 1101 1111
num: 010111100010   result: 0101 1110 0010
num: 010111100101   result: 0101 1110 0101
num: 010111101000   result: 0101 1110 1000
num: 010111101011   result: 0101 1110 1011
num: 010111101110   result: 0101 1110 1110
num: 010111110001   result: 0101 1111 0001
num: 010111110100   result: 0101 1111 0100
num: 010111110111   result: 0101 1111 0111
num: 010111111010   result: 0101 1111 1010
num: 010111111101   result: 0101 1111 1101
num: 011000000000   result: 0110 0000 0000
num: 011000000011   result: 0110 0000 0011
num: 011000000110   result: 0110 0000 0110
num: 011000001001   result: 0110 0000 1001
num: 011000001100   result: 0110 0000 1100
num: 011000001111   result: 0110 0000 1111
num: 011000010010   result: 0110 0001 0010
num: 011000010101   result: 0110 0001 0101
num: 011000011000   result: 0110 0001 1000
num: 011000011011   result: 0110 0001 1011
num: 011000011110   result: 0110 0001 1110
num: 011000100001   result: 0110 0010 0001
num: 011000100100   result: 0110 0010 0100
num: 011000100111   result: 0110 0010 0111
num: 011000101010   result: 0110 0010 1010
num: 011000101101   result: 0110 0010 1101
num: 011000110000   result: 0110 0011 0000
num: 011000110011   result: 0110 0011 0011
num: 011000110110   result: 0110 0011 0110
num: 011000111001   result: 0110 0011 1001
num: 011000111100   result: 0110 0011 1100
num: 011000111111   result: 0110 0011 1111
num: 011001000010   result: 0110 0100 0010
num: 011001000101   result: 0110 0100 0101
num: 011001001000   result: 0110 0100 1000
num: 011001001011   result: 0110 0100 1011
num: 011001001110   result: 0110 0100 1110
num: 011001010001   result: 0110 0101 0001
num: 011001010100   result: 0110 0101 0100
num: 011001010111   result: 0110 0101 0111
num: 011001011010   result: 0110 0101 1010
num: 011001011101   result: 0110 0101 1101
num: 011001100000   result: 0110 0110 0000
num: 011001100011   result: 0110 0110 0011
num: 011001100110   result: 0110 0110 0110
num: 011001101001   result: 0110 0110 1001
num: 011001101100   result: 0110 0110 1100
num: 011001101111   result: 0110 0110 1111
num: 011001110010   result: 0110 0111 0010
num: 011001110101   result: 0110 0111 0101
num: 011001111000   result: 0110 0111 1000
num: 011001111011   result: 0110 0111 1011
num: 011001111110   result: 0110 0111 1110
num: 011010000001   result: 0110 1000 0001
num: 011010000100   result: 0110 1000 0100
num: 011010000111   result: 0110 1000 0111
num: 011010001010   result: 0110 1000 1010
num: 011010001101   result: 0110 1000 1101
num: 011010010000   result: 0110 1001 0000
num: 011010010011   result: 0110 1001 0011
num: 011010010110   result: 0110 1001 0110
num: 011010011001   result: 0110 1001 1001
num: 011010011100   result: 0110 1001 1100
num: 011010011111   result: 0110 1001 1111
num: 011010100010   result: 0110 1010 0010
num: 011010100101   result: 0110 1010 0101
num: 011010101000   result: 0110 1010 1000
num: 011010101011   result: 0110 1010 1011
num: 011010101110   result: 0110 1010 1110
num: 011010110001   result: 0110 1011 0001
num: 011010110100   result: 0110 1011 0100
num: 011010110111   result: 0110 1011 0111
num: 011010111010   result: 0110 1011 1010
num: 011010111101   result: 0110 1011 1101
num: 011011000000   result: 0110 1100 0000
num: 011011000011   result: 0110 1100 0011
num: 011011000110   result: 0110 1100 0110
num: 011011001001   result: 0110 1100 1001
num: 011011001100   result: 0110 1100 1100
num: 011011001111   result: 0110 1100 1111
num: 011011010010   result: 0110 1101 0010
num: 011011010101   result: 0110 1101 0101
num: 011011011000   result: 0110 1101 1000
num: 011011011011   result: 0110 1101 1011
num: 011011011110   result: 0110 1101 1110
num: 011011100001   result: 0110 1110 0001
num: 011011100100   result: 0110 1110 0100
num: 011011100111   result: 0110 1110 0111
num: 011011101010   result: 0110 1110 1010
num: 011011101101   result: 0110 1110 1101
num: 011011110000   result: 0110 1111 0000
num: 011011110011   result: 0110 1111 0011
num: 011011110110   result: 0110 1111 0110
num: 011011111001   result: 0110 1111 1001
num: 011011111100   result: 0110 1111 1100
num: 011011111111   result: 0110 1111 1111
num: 011100000010   result: 0111 0000 0010
num: 011100000101   result: 0111 0000 0101
num: 011100001000   result: 0111 0000 1000
num: 011100001011   result: 0111 0000 1011
num: 011100001110   result: 0111 0000 1110
num: 011100010001   result: 0111 0001 0001
num: 011100010100   result: 0111 0001 0100
num: 011100010111   result: 0111 0001 0111
num: 011100011010   result: 0111 0001 1010
num: 011100011101   result: 0111 0001 1101
num: 011100100000   result: 0111 0010 0000
num: 011100100011   result: 0111 0010 0011
num: 011100100110   result: 0111 0010 0110
num: 011100101001   result: 0111 0010 1001
num: 011100101100   result: 0111 0010 1100
num: 011100101111   result: 0111 0010 1111
num: 011100110010   result: 0111 0011 0010
num: 011100110101   result: 0111 0011 0101
num: 011100111000   result: 0111 0011 1000
num: 011100111011   result: 0111 0011 1011
num: 011100111110   result: 0111 0011 1110
num: 011101000001   result: 0111 0100 0001
num: 011101000100   result: 0111 0100 0100
num: 011101000111   result: 0111 0100 0111
num: 011101001010   result: 0111 0100 1010
num: 011101001101   result: 0111 0100 1101
num: 011101010000   result: 0111 0101 0000
num: 011101010011   result: 0111 0101 0011
num: 011101010110   result: 0111 0101 0110
num: 011101011001   result: 0111 0101 1001
num: 011101011100   result: 0111 0101 1100
num: 011101011111   result: 0111 0101 1111
num: 011101100010   result: 0111 0110 0010
num: 011101100101   result: 0111 0110 0101
num: 011101101000   result: 0111 0110 1000
num: 011101101011   result: 0111 0110 1011
num: 011101101110   result: 0111 0110 1110
num: 011101110001   result: 0111 0111 0001
num: 011101110100   result: 0111 0111 0100
num: 011101110111   result: 0111 0111 0111
num: 011101111010   result: 0111 0111 1010
num: 011101111101   result: 0111 0111 1101
num: 011110000000   result: 0111 1000 0000
num: 011110000011   result: 0111 1000 0011
num: 011110000110   result: 0111 1000 0110
num: 011110001001   result: 0111 1000 1001
num: 011110001100   result: 0111 1000 1100
num: 011110001111   result: 0111 1000 1111
num: 011110010010   result: 0111 1001 0010
num: 011110010101   result: 0111 1001 0101
num: 011110011000   result: 0111 1001 1000
num: 011110011011   result: 0111 1001 1011
num: 011110011110   result: 0111 1001 1110
num: 011110100001   result: 0111 1010 0001
num: 011110100100   result: 0111 1010 0100
num: 011110100111   result: 0111 1010 0111
num: 011110101010   result: 0111 1010 1010
num: 011110101101   result: 0111 1010 1101
num: 011110110000   result: 0111 1011 0000
num: 011110110011   result: 0111 1011 0011
num: 011110110110   result: 0111 1011 0110
num: 011110111001   result: 0111 1011 1001
num: 011110111100   result: 0111 1011 1100
num: 011110111111   result: 0111 1011 1111
num: 011111000010   result: 0111 1100 0010
num: 011111000101   result: 0111 1100 0101
num: 011111001000   result: 0111 1100 1000
num: 011111001011   result: 0111 1100 1011
num: 011111001110   result: 0111 1100 1110
num: 011111010001   result: 0111 1101 0001
num: 011111010100   result: 0111 1101 0100
num: 011111010111   result: 0111 1101 0111
num: 011111011010   result: 0111 1101 1010
num: 011111011101   result: 0111 1101 1101
num: 011111100000   result: 0111 1110 0000
num: 011111100011   result: 0111 1110 0011
num: 011111100110   result: 0111 1110 0110
num: 011111101001   result: 0111 1110 1001
num: 011111101100   result: 0111 1110 1100
num: 011111101111   result: 0111 1110 1111
num: 011111110010   result: 0111 1111 0010
num: 011111110101   result: 0111 1111 0101
num: 011111111000   result: 0111 1111 1000
num: 011111111011   result: 0111 1111 1011
num: 011111111110   result: 0111 1111 1110
